timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB],,memory.used,[MiB], temperature.gpu,,power.draw,[W],,GPU Utilization,Memory Utlization,Used memory,Temp,Power
05:51.9, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81100 MiB,,0,MiB,36,,63.65,W,,99%,79%,22333,59,289
05:52.9, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,70.62,W,,,,,,
05:53.9, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,36,,62.21,W,,,,,,
05:54.9, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,36,,59.78,W,,,,,,
05:55.9, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,36,,59.25,W,,,,,,
05:56.9, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,36,,59.61,W,,,,,,
05:57.9, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,36,,59.54,W,,,,,,
05:58.9, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,36,,59.54,W,,,,,,
05:59.9, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,36,,60.61,W,,,,,,
06:00.9, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,36,,62.21,W,,,,,,
06:01.9, NVIDIA A100-SXM4-80GB,12%,0%, 81920 MiB, 80468 MiB,,631,MiB,36,,69.79,W,,,,,,
06:02.9, NVIDIA A100-SXM4-80GB,17%,0%, 81920 MiB, 80184 MiB,,915,MiB,36,,69.79,W,,,,,,
06:03.9, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 78996 MiB,,2103,MiB,37,,71.16,W,,,,,,
06:04.9, NVIDIA A100-SXM4-80GB,96%,73%, 81920 MiB, 59408 MiB,,21691,MiB,42,,291.04,W,,,,,,
06:05.9, NVIDIA A100-SXM4-80GB,100%,88%, 81920 MiB, 59408 MiB,,21691,MiB,45,,205.51,W,,,,,,
06:07.0, NVIDIA A100-SXM4-80GB,100%,86%, 81920 MiB, 59408 MiB,,21691,MiB,46,,247.76,W,,,,,,
06:08.0, NVIDIA A100-SXM4-80GB,100%,83%, 81920 MiB, 59408 MiB,,21691,MiB,47,,281.93,W,,,,,,
06:09.0, NVIDIA A100-SXM4-80GB,99%,73%, 81920 MiB, 59408 MiB,,21691,MiB,48,,282.49,W,,,,,,
06:10.0, NVIDIA A100-SXM4-80GB,99%,73%, 81920 MiB, 59408 MiB,,21691,MiB,49,,303.22,W,,,,,,
06:11.0, NVIDIA A100-SXM4-80GB,12%,0%, 81920 MiB, 59202 MiB,,21897,MiB,42,,80.06,W,,,,,,
06:12.0, NVIDIA A100-SXM4-80GB,10%,0%, 81920 MiB, 58934 MiB,,22165,MiB,41,,72.52,W,,,,,,
