timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB],,memory.used,[MiB], temperature.gpu,,power.draw,[W],,GPU Utilization,Memory Utlization,Used memory,Temp,Power
04:24.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81100 MiB,,0,MiB,37,,66.83,W,,11%,1%,2376,38,76
04:25.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,38,,79.81,W,,,,,,
04:26.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,38,,60.39,W,,,,,,
04:27.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,59.78,W,,,,,,
04:28.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,59.78,W,,,,,,
04:30.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,60.07,W,,,,,,
04:31.0, NVIDIA A100-SXM4-80GB,2%,0%, 81920 MiB, 80506 MiB,,593,MiB,37,,71.16,W,,,,,,
04:32.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,71.16,W,,,,,,
04:33.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.86,W,,,,,,
04:34.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.62,W,,,,,,
04:35.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.86,W,,,,,,
04:36.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.86,W,,,,,,
04:37.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.86,W,,,,,,
04:38.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.86,W,,,,,,
04:39.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,73.05,W,,,,,,
04:40.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.86,W,,,,,,
04:41.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.86,W,,,,,,
04:42.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.86,W,,,,,,
04:43.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.86,W,,,,,,
04:44.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.86,W,,,,,,
04:45.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.86,W,,,,,,
04:46.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,73.88,W,,,,,,
04:47.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.86,W,,,,,,
04:48.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,71,W,,,,,,
04:49.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
04:50.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
04:51.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.78,W,,,,,,
04:52.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
04:53.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
04:54.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,73.71,W,,,,,,
04:55.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,71.08,W,,,,,,
04:56.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
04:57.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,71,W,,,,,,
04:58.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.86,W,,,,,,
04:59.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.86,W,,,,,,
05:00.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,71,W,,,,,,
05:01.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,71,W,,,,,,
05:02.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,73.42,W,,,,,,
05:03.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:04.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,71,W,,,,,,
05:05.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.78,W,,,,,,
05:06.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:07.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:08.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:09.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:10.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,72.06,W,,,,,,
05:11.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:12.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:13.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:14.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:15.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:16.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:17.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,73.71,W,,,,,,
05:18.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:19.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:20.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:21.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:22.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:23.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,71,W,,,,,,
05:24.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:25.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:26.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:27.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.7,W,,,,,,
05:28.2, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,71,W,,,,,,
