timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB],,memory.used,[MiB], temperature.gpu,,power.draw,[W],,GPU Utilization,Memory Utlization,Used memory,Temp,Power
05:54.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81100 MiB,,0,MiB,37,,68.27,W,,76%,59%,32575,62,266
05:55.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,71.53,W,,,,,,
05:56.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,68.51,W,,,,,,
05:57.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,65.55,W,,,,,,
05:58.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,66.91,W,,,,,,
05:59.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,67.74,W,,,,,,
06:00.7, NVIDIA A100-SXM4-80GB,2%,0%, 81920 MiB, 79642 MiB,,1457,MiB,37,,74.95,W,,,,,,
06:01.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 77594 MiB,,3505,MiB,37,,74.95,W,,,,,,
06:02.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 77594 MiB,,3505,MiB,37,,74.95,W,,,,,,
06:03.7, NVIDIA A100-SXM4-80GB,4%,2%, 81920 MiB, 69340 MiB,,11759,MiB,37,,75.19,W,,,,,,
06:04.7, NVIDIA A100-SXM4-80GB,72%,53%, 81920 MiB, 48860 MiB,,32239,MiB,44,,302.05,W,,,,,,
06:05.7, NVIDIA A100-SXM4-80GB,78%,59%, 81920 MiB, 48860 MiB,,32239,MiB,45,,312.98,W,,,,,,
06:06.7, NVIDIA A100-SXM4-80GB,81%,61%, 81920 MiB, 48860 MiB,,32239,MiB,46,,305.99,W,,,,,,
06:07.7, NVIDIA A100-SXM4-80GB,85%,64%, 81920 MiB, 48860 MiB,,32239,MiB,46,,231.1,W,,,,,,
06:08.7, NVIDIA A100-SXM4-80GB,83%,62%, 81920 MiB, 48860 MiB,,32239,MiB,46,,216.62,W,,,,,,
06:09.7, NVIDIA A100-SXM4-80GB,83%,62%, 81920 MiB, 48860 MiB,,32239,MiB,47,,262.04,W,,,,,,
06:10.7, NVIDIA A100-SXM4-80GB,85%,64%, 81920 MiB, 48860 MiB,,32239,MiB,47,,219.47,W,,,,,,
06:11.7, NVIDIA A100-SXM4-80GB,87%,67%, 81920 MiB, 48860 MiB,,32239,MiB,47,,210.06,W,,,,,,
06:12.7, NVIDIA A100-SXM4-80GB,8%,0%, 81920 MiB, 48578 MiB,,32521,MiB,42,,86.56,W,,,,,,
06:13.7, NVIDIA A100-SXM4-80GB,83%,65%, 81920 MiB, 48524 MiB,,32575,MiB,47,,249.39,W,,,,,,
06:14.7, NVIDIA A100-SXM4-80GB,81%,63%, 81920 MiB, 48524 MiB,,32575,MiB,48,,214.16,W,,,,,,
06:15.7, NVIDIA A100-SXM4-80GB,76%,59%, 81920 MiB, 48524 MiB,,32575,MiB,48,,252.87,W,,,,,,
06:16.7, NVIDIA A100-SXM4-80GB,74%,58%, 81920 MiB, 48524 MiB,,32575,MiB,48,,242.96,W,,,,,,
06:17.7, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,49,,227.89,W,,,,,,
06:18.7, NVIDIA A100-SXM4-80GB,73%,57%, 81920 MiB, 48524 MiB,,32575,MiB,49,,263.63,W,,,,,,
06:19.7, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,49,,223.33,W,,,,,,
06:20.7, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,49,,267.64,W,,,,,,
06:21.7, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,50,,281.1,W,,,,,,
06:22.7, NVIDIA A100-SXM4-80GB,73%,57%, 81920 MiB, 48524 MiB,,32575,MiB,50,,222.51,W,,,,,,
06:23.8, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,49,,207.69,W,,,,,,
06:24.8, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,50,,161.05,W,,,,,,
06:25.8, NVIDIA A100-SXM4-80GB,70%,52%, 81920 MiB, 48524 MiB,,32575,MiB,51,,290.18,W,,,,,,
